관리번호,위도,경도,geometry
동_11-28,37.570346,127.076945,POINT (127.076945 37.570346)
동_11-29,37.569734,127.076627,POINT (127.076627 37.569734)
동_11-30,37.569101,127.076255,POINT (127.076255 37.569101)
동_11-31,37.56846,127.075902,POINT (127.075902 37.56846)
동_11-32,37.567867,127.075579,POINT (127.075579 37.567867)
동_11-33,37.567223,127.075212,POINT (127.075212 37.567223)
동_11-34,37.566613,127.074862,POINT (127.074862 37.566613)
동_11-35,37.565993,127.074525,POINT (127.074525 37.565993)
동_11-36,37.565294,127.07413,POINT (127.07413 37.565294)
동_11-37,37.56456,127.073745,POINT (127.073745 37.56456)
동_11-38,37.563919,127.073371,POINT (127.073371 37.563919)
동_11-39,37.563316,127.073033,POINT (127.073033 37.563316)
동_11-40,37.562715,127.072697,POINT (127.072697 37.562715)
동_11-41,37.564019,127.073134,POINT (127.073134 37.564019)
동_11-42,37.564153,127.073308,POINT (127.073308 37.564153)
동_11-43,37.564248,127.073506,POINT (127.073506 37.564248)
동_11-44,37.564323,127.073721,POINT (127.073721 37.564323)
동_11-45,37.56436,127.073962,POINT (127.073962 37.56436)
동_12-01,37.562597,127.072211,POINT (127.072211 37.562597)
동_12-02,37.562357,127.072077,POINT (127.072077 37.562357)
동_12-03,37.56212,127.071935,POINT (127.071935 37.56212)
동_12-04,37.561887,127.071793,POINT (127.071793 37.561887)
동_12-05,37.561692,127.071672,POINT (127.071672 37.561692)
동_12-06,37.561466,127.071552,POINT (127.071552 37.561466)
동_12-07,37.561258,127.071441,POINT (127.071441 37.561258)
동_12-08,37.561031,127.071281,POINT (127.071281 37.561031)
동_12-09,37.560834,127.071148,POINT (127.071148 37.560834)
동_12-29,37.561645,127.071761,POINT (127.071761 37.561645)
동_12-30,37.561447,127.071663,POINT (127.071663 37.561447)
동_12-31,37.561242,127.071557,POINT (127.071557 37.561242)
동_12-32,37.561012,127.071441,POINT (127.071441 37.561012)
동_12-33,37.560754,127.071316,POINT (127.071316 37.560754)
동_12-34,37.560542,127.071209,POINT (127.071209 37.560542)
동_12-41,37.562356,127.072306,POINT (127.072306 37.562356)
동_12-42,37.561683,127.071932,POINT (127.071932 37.561683)
동_12-43,37.56102,127.071559,POINT (127.071559 37.56102)
동_12-51,37.561996,127.072308,POINT (127.072308 37.561996)
동_12-52,37.561344,127.071928,POINT (127.071928 37.561344)
동_12-53,37.56062,127.071537,POINT (127.071537 37.56062)
동_12-54,37.560437,127.071397,POINT (127.071397 37.560437)
동_25-67,37.596478,127.069404,POINT (127.069404 37.596478)
동_25-68,37.596444,127.069194,POINT (127.069194 37.596444)
동_25-69,37.596374,127.069001,POINT (127.069001 37.596374)
동_25-70,37.596276,127.068811,POINT (127.068811 37.596276)
동_25-71,37.596158,127.068655,POINT (127.068655 37.596158)
동_25-72,37.596003,127.068534,POINT (127.068534 37.596003)
동_25-73,37.595845,127.068443,POINT (127.068443 37.595845)
동_25-74,37.595659,127.068393,POINT (127.068393 37.595659)
동_25-75,37.58933,127.069957,POINT (127.069957 37.58933)
동_25-76,37.589159,127.070119,POINT (127.070119 37.589159)
동_25-77,37.58903,127.070317,POINT (127.070317 37.58903)
동_25-78,37.588938,127.070543,POINT (127.070543 37.588938)
동_25-79,37.588889,127.070791,POINT (127.070791 37.588889)
동_25-80,37.588889,127.071033,POINT (127.071033 37.588889)
