MGRNU,STAT_CDE,A004_KND_C,HOL,VEL,AW_SN_QUA,AW_SN_LENX,EVE_CDE,OD_PE_CDE,GU_CDE,DONG_CDE,JIBUN,NW_PE_CDE,WORK_CDE,VIEW_CDE,ROD_GBN_CD,TFC_BSS_CD,SIXID,ESB_YMD,CAE_YMD,HISID,CTK_MGRNU,CRS_MGRNU,FRM_CDE,CSS_CDE,RN_CDE,MNG_AGEN,geometry,length_m
06-0000031662,001,001,0.0,0.0,2.0,006,001,200,230,10200,66-7대,200,001,002,002,109,,,,63890.0,2009-1108-150,06-031662,004,,,,"POLYGON ((203299.71286003798 552815.325464601, 203307.796453082 552815.325464601, 203307.658737284 552811.208794551, 203298.92805575402 552811.401368916, 203298.92805575402 552811.401368916, 203299.71286003798 552815.325464601))",1.5m
06-0000031663,001,003,0.0,0.0,0.0,001,001,200,230,10200,54-1대,200,001,002,002,109,,,,63954.0,2009-1108-150,06-031663,004,,,,"POLYGON ((203307.325575463 553017.101463077, 203318.626910631 553016.473609748, 203318.39145944302 553012.392563109, 203307.561026651 553013.020416438, 203307.561026651 553013.020416438, 203307.325575463 553017.101463077))",1m
06-0000031664,001,003,0.0,0.0,0.0,001,001,200,230,10200,47-2도,200,001,002,002,109,,,,63952.0,2009-1108-150,06-031664,004,,,,"POLYGON ((203306.462270947 552951.7263651569, 203315.566119463 552951.255462783, 203315.566119463 552947.174416144, 203305.598966431 552947.5668430411, 203305.598966431 552947.5668430411, 203306.462270947 552951.7263651569))",1m
06-0000031665,001,003,0.0,0.0,0.0,001,001,200,230,10200,64-1대,200,001,002,002,109,,,,63953.0,2009-1108-150,06-031665,004,,,,"POLYGON ((203303.401504535 552945.369356389, 203303.401504535 552945.369356389, 203303.166053347 552935.16675217, 203299.085006709 552936.265483118, 203299.398933373 552944.58452735, 203303.401504535 552945.369356389))",1m
06-0000031666,001,003,0.0,0.0,0.0,001,001,200,230,10200,65-26 대,200,001,002,002,109,,,,78643.0,2009-1108-150,06-031666,004,,,,"POLYGON ((203305.741212517 552933.041106476, 203313.75945059 552932.647565573, 203313.562692516 552928.6630412961, 203305.64283348 552929.00739268, 203305.741212517 552933.041106476))",1m
06-0000031667,001,002,0.0,0.0,4.0,006,001,200,230,10200,65-27 대,200,001,002,002,109,,,,63892.0,2009-1108-150,06-031667,004,,,,"POLYGON ((203303.715431199 552904.715915223, 203303.715431199 552904.715915223, 203302.77365120602 552889.5689846041, 203296.96602029 552893.3361045789, 203297.907775528 552902.753879759, 203303.715431199 552904.715915223))",1.5m
06-0000031668,001,003,0.0,0.0,0.0,001,001,200,230,10200,65-18대,200,001,002,002,109,,,,63891.0,2009-1108-150,06-031668,004,,,,"POLYGON ((203302.224273354 552888.627204611, 203311.563573057 552888.391753423, 203311.406597347 552884.31073154, 203302.067297644 552884.467682495, 203302.067297644 552884.467682495, 203302.224273354 552888.627204611))",1m
06-0000031669,001,003,0.0,0.0,0.0,001,001,200,230,10200,47-2도,200,001,002,002,109,,,,63955.0,2009-1108-150,06-031669,004,,,,"POLYGON ((203215.090772505 553021.818086814, 203228.555208697 553021.4161537391, 203228.354242159 553016.794047154, 203215.693672118 553017.5978885479, 203215.693672118 553017.5978885479, 203215.090772505 553021.818086814))",1m
06-0000031683,001,003,0.0,0.0,0.0,,001,200,230,10400,103-14도,200,001,002,001,109,5304008,,,63679.0,2000-0000-000,06-031683,004,635,,,"POLYGON ((204717.421875 553761.87499974, 204714.09375 553760.6874997411, 204713.828125 553767.999999739, 204717.125000001 553769.37499974, 204717.421875 553761.87499974))",
06-0000030250,001,003,0.0,0.0,0.0,001,001,200,230,10200,75-14대,200,001,002,002,109,,,,40392.0,2008-1107-995,06-030250,001,,,,"POLYGON ((203110.98305069102 552679.378583051, 203111.08133070503 552670.110951016, 203110.379235119 552669.619501435, 203106.891235335 552669.591032413, 203106.714306554 552680.670432989, 203109.26993349902 552680.45981174, 203109.943931399 552679.940264472, 203110.182650335 552679.757716153, 203110.98305069102 552679.378583051))",1m
