NO,ATNRG_NM,SAFETY_ADDR,CCTV_USE,LA,LO,CCTV_QTY,UPDATE_DT,PLCST_NM,PLCST_DEPT_NM,PLCST_DEPT_CD,CTPR_PLAGC_NM
48099,동대문구,회기로23나길8 메인 (221026),방범,37.59234173,127.0547933,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48100,동대문구,회기로23나길8 보조1,방범,37.59234173,127.0547933,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48101,동대문구,회기로23나길8 보조2,방범,37.59234173,127.0547933,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48116,동대문구,회기로29길 61 메인 (231008),방범,37.5923838,127.058975,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48117,동대문구,회기로29길 61 보조1,방범,37.5923838,127.058975,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48118,동대문구,회기로29길 61 보조2,방범,37.5923838,127.058975,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48125,동대문구,회기로29길 47 메인 (231028),방범,37.5923997,127.058182,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48126,동대문구,회기로29길 47 보조1,방범,37.5923997,127.058182,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48127,동대문구,회기로29길 47 보조2,방범,37.5923997,127.058182,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48162,동대문구,회기로23길 61 메인 (222007),어린이안전,37.59247762,127.056091,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48163,동대문구,회기로23길 61 보조1,어린이안전,37.59247762,127.056091,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48164,동대문구,회기로23길 61 보조2,어린이안전,37.59247762,127.056091,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48165,동대문구,회기로23길 61 보조3 (통플),어린이안전,37.59247762,127.056091,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48171,동대문구,경희대로4길 6 메인 (221031),방범,37.59249738,127.0529561,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48172,동대문구,경희대로4길 6 보조1,방범,37.59249738,127.0529561,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48173,동대문구,경희대로4길 6 보조2,방범,37.59249738,127.0529561,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48174,동대문구,경희대로4길 6 보조3,방범,37.59249738,127.0529561,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
