주소,병원분류명,경도,위도
"서울특별시 동대문구 장한로 10, 3층 (장안동)",의원,127.065498788097,37.5623569528356
"서울특별시 동대문구 이문로 136, 2층 F2-3,F2-4호 (이문동, 이문동 웰츠타워)",의원,127.061885756308,37.5984917221
"서울특별시 동대문구 이문로 136, 2층 F2-3,F2-4호 (이문동, 이문동 웰츠타워)",한의원,127.0618735167,37.5984798354
"서울특별시 동대문구 전농로 22, 5층 (답십리동, 엠제이빌딩)",의원,127.05671290806843,37.56670258957791
"서울특별시 동대문구 천호대로 267, DANA 3층 (답십리동)",의원,127.051559563993,37.5681619527974
"서울특별시 동대문구 답십리로 273, 한양빌딩 4층 (장안동)",의원,127.070822317885,37.5726844249689
서울특별시 동대문구 무학로 193-1 (용두동),병원,127.029498659534,37.5816271425374
"서울특별시 동대문구 사가정로 80, 답십리 뉴타운 카운티 에비뉴 310, 311호 (답십리동)",한의원,127.054926569574,37.5752237850342
"서울특별시 동대문구 전농로 38, 3, 4층 (답십리동)",의원,127.057240883237,37.5682540295405
"서울특별시 동대문구 고미술로 81, 2층 203, 204, 205호 (답십리동)",의원,127.055721897581,37.5656002424883
"서울특별시 동대문구 전농로 36, 3층 302호,303호 (답십리동)",의원,127.057406070901,37.5680105003259
"서울특별시 동대문구 전농로 24, 계림빌딩 3층 (답십리동)",의원,127.056886893804,37.5670162325977
"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 4층 403호 (답십리동)",한의원,127.057406070901,37.5680105003259
"서울특별시 동대문구 고미술로 81, 3층 (답십리동)",한의원,127.055721897581,37.5656002424883
"서울특별시 동대문구 전농로 124, 2층 (전농동)",의원,127.057872293657,37.5758888432964
서울특별시 동대문구 고산자로 445-1 (제기동),한의원,127.037970539875,37.5794776533355
"서울특별시 동대문구 장한로 200 (장안동, KS빌딩)",요양병원,127.072483976271,37.5782947193958
"서울특별시 동대문구 답십리로 308, 2층 3~4호 (장안동)",치과의원,127.074549377925,37.5718587109996
"서울특별시 동대문구 전농로 113, 3층 (답십리동)",한의원,127.0573893934596,37.575041873952735
서울특별시 동대문구 왕산로 123 (제기동),치과의원,127.037160568378,37.5784272619867
"서울특별시 동대문구 장한로 137, 4층 (장안동)",치과의원,127.071197188094,37.5727547473779
"서울특별시 동대문구 왕산로 190, 301~305호 (전농동)",의원,127.044447176728,37.579515216337
"서울특별시 동대문구 답십리로 77, 2층 (전농동)",치과의원,127.049586247831,37.5751171286371
"서울특별시 동대문구 장한로 137, 5층 (장안동)",치과의원,127.071197188094,37.5727547473779
"서울특별시 동대문구 한빛로 12, 지하1층 ~ 4층 (신설동)",요양병원,127.024888817848,37.5767579715876
"서울특별시 동대문구 회기로 154, 2층 (회기동)",의원,127.05325006162,37.5910052708221
"서울특별시 동대문구 전농로 38, 5층 (답십리동)",치과의원,127.057240883237,37.5682540295405
"서울특별시 동대문구 천호대로 2, (신설동)",치과의원,127.023557307449,37.5750052699082
"서울특별시 동대문구 휘경로 13, 9층 (이문동)",의원,127.061743635095,37.5960166838474
"서울특별시 동대문구 왕산로32길 7, 5층 (용두동, BYC 청량리 오피스텔)",의원,127.04179615724,37.5787296170106
"서울특별시 동대문구 왕산로36길 6, 힐스테이트 청량리 더퍼스트 101동 201~207호 (전농동)",의원,127.043474539053,37.579230143677
"서울특별시 동대문구 휘경로 47, 2층 (휘경동)",의원,127.065088826195,37.5947280905952
"서울특별시 동대문구 천호대로 425, 3층 (장안동)",의원,127.066468745001,37.5618156326667
"서울특별시 동대문구 사가정로 229, 2층 (장안동)",한의원,127.07043813809594,37.57897927002839
"서울특별시 동대문구 망우로12길 1, 6층 (휘경동)",의원,127.059237392782,37.5889949170377
"서울특별시 동대문구 약령중앙로8길 10, 1층 (제기동)",한의원,127.0377496813,37.5815225295
"서울특별시 동대문구 약령중앙로 5, 2층 (제기동)",한의원,127.036583747228,37.5788373944495
서울특별시 동대문구 천호대로 145 (용두동),보건소,127.0402548147166,37.57468135062168
"서울특별시 동대문구 왕산로 143, 2층 (제기동)",치과의원,127.039245719345,37.5785867839247
서울특별시 동대문구 왕산로 131 (제기동),한의원,127.03804346286,37.5783964370568
서울특별시 동대문구 천호대로 289 (답십리동),한의원,127.053284511547,37.5668988918932
"서울특별시 동대문구 망우로 123, A동 2층 203호 (휘경동)",의원,127.06659655052,37.591711720367
"서울특별시 동대문구 왕산로 21, 민족통일대통령빌딩 3층 (신설동)",의원,127.025796515924,37.5768030967407
"서울특별시 동대문구 이문로 88, 2층 201, 202호 (이문동)",의원,127.059408344046,37.5946710804233
서울특별시 동대문구 답십리로 146-2 (답십리동),한의원,127.056297686858,37.5726664765531
서울특별시 동대문구 약령중앙로6길 9-1 (제기동),한의원,127.03767616221,37.5809860112832
"서울특별시 동대문구 답십리로 289, 기륭빌딩 2층 (장안동)",한의원,127.072438425548,37.5725258603826
서울특별시 동대문구 외대역동로 87 (이문동),한의원,127.065239674682,37.596050752761
"서울특별시 동대문구 장한로 25, 3층 (장안동)",한의원,127.06577851377,37.5638282144142
"서울특별시 동대문구 천호대로 307, 2층 201, 202호 (답십리동, 클래식타워)",의원,127.054762202414,37.5657983700541
"서울특별시 동대문구 사가정로 207, 삼협메디스빌딩 4층 401호 (장안동)",한의원,127.068016203955,37.5788925747579
"서울특별시 동대문구 고산자로 534, 204호 (제기동)",의원,127.039218485863,37.5883932941526
"서울특별시 동대문구 왕산로 81, 205호 (용두동)",치과의원,127.03240723146,37.578533087818
"서울특별시 동대문구 왕산로 21, 민족통일대통령빌딩 2층 201호 (신설동)",치과의원,127.025796515924,37.5768030967407
"서울특별시 동대문구 답십리로69길 55, 웰빙프라자 301층 (장안동)",의원,127.073314684596,37.5758584588275
"서울특별시 동대문구 장한로 14, 혜성클리닉 4층 (장안동)",치과의원,127.065754693542,37.5626109816786
"서울특별시 동대문구 이문로 136, 2층 F2-9,10,25호 (이문동, 이문동 웰츠타워)",치과의원,127.061872724933,37.5984809170412
"서울특별시 동대문구 휘경로 12-1, 3층 (이문동)",한의원,127.06140256497,37.5957325089141
"서울특별시 동대문구 이문로 136, F1-7, F1-8호 (이문동, 웰츠타워)",의원,127.061872724933,37.5984809170412
"서울특별시 동대문구 왕산로32길 7, 5층 (용두동, BYC청량리오피스텔)",의원,127.04179615724,37.5787296170106
"서울특별시 동대문구 왕산로 178, 4층 (전농동)",의원,127.043146161257,37.5793037852612
"서울특별시 동대문구 전농로 73-17, 2층 (답십리동)",치과의원,127.056192365869,37.5714005386636
"서울특별시 동대문구 망우로 60, 2층 (휘경동)",의원,127.060027858609,37.5891959795834
"서울특별시 동대문구 서울시립대로 50, 3층 (전농동)",치과의원,127.047621034272,37.5756385323789
서울특별시 동대문구 왕산로 4 (신설동),치과의원,127.024042802335,37.5756082077054
"서울특별시 동대문구 사가정로 80, 답십리 뉴타운 카운티 에비뉴 306~309호 (답십리동)",의원,127.054926569574,37.5752237850342
서울특별시 동대문구 왕산로 225 (청량리동),의원,127.047209103701,37.5821227010138
"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",병원,127.069844464433,37.5722812717492
"서울특별시 동대문구 왕산로 127, 6층 (제기동)",치과의원,127.037540278546,37.5784474142127
"서울특별시 동대문구 고산자로 399 (용두동) 304,305호",의원,127.037769621436,37.5752762915537
서울특별시 동대문구 천호대로27길 10 (용두동),한의원,127.037517082477,37.57463468372
서울특별시 동대문구 한천로37길 19,기타,127.0665146913,37.5763201011
서울특별시 동대문구 천호대로83길 44 (장안동),병원,127.065546531255,37.5638839349002
"서울특별시 동대문구 황물로 42, 201,202,203호 (답십리동)",치과의원,127.046204557882,37.573327863786
서울특별시 동대문구 한천로 49 (답십리동),요양병원,127.061619144834,37.5665654319352
"서울특별시 동대문구 답십리로66길 88, 태광주택 2층 201호 (장안동)",한의원,127.06630266063,37.5690443265531
"서울특별시 동대문구 왕산로36길 6, 힐스테이트 청량리 더퍼스트 101동 208호 (전농동)",한의원,127.043474539053,37.579230143677
"서울특별시 동대문구 왕산로 225, 203-3호 (청량리동)",치과의원,127.047209103701,37.5821227010138
"서울특별시 동대문구 천호대로 281, 2층 (답십리동)",한의원,127.052209219835,37.5675757498172
"서울특별시 동대문구 천호대로 281, 2층 (답십리동)",한의원,127.052209219835,37.5675757498172
"서울특별시 동대문구 약령중앙로 19-1, 4층 (제기동)",한의원,127.036808592057,37.5800121305378
"서울특별시 동대문구 사가정로23가길 11, 3층 (장안동)",한의원,127.070549201395,37.580639556591
"서울특별시 동대문구 약령중앙로 13, 2,3층 (제기동)",한의원,127.036789292424,37.5794425282217
"서울특별시 동대문구 장한로 22, 2층 (장안동)",치과의원,127.066126699769,37.56321714445
"서울특별시 동대문구 고미술로 81, 3층 (답십리동)",의원,127.055721897581,37.5656002424883
"서울특별시 동대문구 왕산로 185, 4층 (청량리동)",한의원,127.043795202414,37.5800963307551
"서울특별시 동대문구 왕산로32길 7, 3층 (용두동)",의원,127.04179615724,37.5787296170106
"서울특별시 동대문구 왕산로 20, 3층 (신설동)",의원,127.025808519641,37.5761584326213
"서울특별시 동대문구 약령중앙로2길 2, 2층 (제기동)",한의원,127.037078956556,37.5786782144954
"서울특별시 동대문구 이문로 30, 3층 (휘경동)",의원,127.056453204298,37.5901844200243
"서울특별시 동대문구 고산자로 469, 1층 (제기동)",한의원,127.03828484118,37.5815283037163
"서울특별시 동대문구 한천로 89, 2층 (답십리동)",치과의원,127.063984681811,37.569580706757
"서울특별시 동대문구 약령시로 133, 1층 4층일부호 (청량리동)",의원,127.044745762835,37.5833853215255
"서울특별시 동대문구 약령시로 133, 2층 (청량리동)",의원,127.044745762835,37.5833853215255
"서울특별시 동대문구 이문로 114, 한국외국어대학교 글로벌홀 2층 (이문동)",의원,127.060682416152,37.5967350539561
"서울특별시 동대문구 약령중앙로2길 2, 2층 (제기동)",한의원,127.037078956556,37.5786782144954
"서울특별시 동대문구 왕산로 186, 청량리역 우남SL타워300 5층 503~507호 (전농동)",치과의원,127.044171994493,37.5793755754741
"서울특별시 동대문구 휘경로 13, 4,5층 (이문동)",의원,127.061743635095,37.5960166838474
"서울특별시 동대문구 답십리로 300, 4층 (장안동)",치과의원,127.073736162971,37.5719741886823
"서울특별시 동대문구 고산자로 406, 2층 (용두동)",의원,127.038579520544,37.5757971648836
"서울특별시 동대문구 서울시립대로 31, 102동 204호 (전농동)",치과의원,127.045864474612,37.5753105451014
"서울특별시 동대문구 망우로 123, 202호 (휘경동)",한의원,127.06659655052,37.591711720367
"서울특별시 동대문구 망우로 131, 2층 (휘경동)",치과의원,127.067427768295,37.5918475685303
서울특별시 동대문구 휘경로3길 4 (이문동),의원,127.062480944175,37.5957907777139
서울특별시 동대문구 약령시로 133 (청량리동),의원,127.044745762835,37.5833853215255
"서울특별시 동대문구 왕산로 45, 3층 301호 (용두동, KY TOWER)",의원,127.028342403596,37.5774146484823
서울특별시 동대문구 망우로 78 (휘경동),한의원,127.062022206819,37.5897577082906
서울특별시 동대문구 전농로 147   (전농동),의원,127.057268822936,37.5779860214922
"서울특별시 동대문구 장안벚꽃로 107, 207호 (장안동)",의원,127.075113657819,37.5710568281709
"서울특별시 동대문구 전농로 134, (전농동)",의원,127.057996432568,37.5768510443127
"서울특별시 동대문구 답십리로 255, 1층 (장안동)",한의원,127.068802685,37.5727616633
"서울특별시 동대문구 한천로58길 75-13, 303호 (이문동)",치과의원,127.068769452719,37.6007507501532
"서울특별시 동대문구 사가정로 122, 301호 (전농동)",치과의원,127.058517800585,37.5772114550055
