노드 ID,정류소번호,정류소명,X좌표,Y좌표,정류소 타입,geometry
105000198,6284,현대코아,127.0448733855,37.5818120287,일반차로,POINT (127.0448733855 37.5818120287)
105000199,6285,현대코아,127.0446557984,37.5814859166,일반차로,POINT (127.0446557984 37.5814859166)
105000200,6286,동대문중앙새마을금고,127.041213,37.583118,일반차로,POINT (127.041213 37.583118)
105000201,6287,동대문중앙새마을금고,127.042218,37.582988,일반차로,POINT (127.042218 37.582988)
105000551,6288,제기동주민센터앞,127.0378676044,37.5829768901,일반차로,POINT (127.0378676044 37.5829768901)
105000203,6289,제기동한신아파트,127.0373610455,37.5866381789,일반차로,POINT (127.0373610455 37.5866381789)
105000204,6290,제기시장,127.03522,37.586385,일반차로,POINT (127.03522 37.586385)
105000205,6291,제기시장,127.03467,37.586625,일반차로,POINT (127.03467 37.586625)
105000207,6293,외대역앞,127.0609470779,37.596009591,일반차로,POINT (127.0609470779 37.596009591)
105000208,6294,외대역앞,127.0613604745,37.5960661454,일반차로,POINT (127.0613604745 37.5960661454)
105000209,6295,이경시장,127.0649927315,37.5952640352,일반차로,POINT (127.0649927315 37.5952640352)
105000211,6297,청랑리한신아파트.청량사입구,127.047414,37.586742,일반차로,POINT (127.047414 37.586742)
105000212,6298,전동초등학교.전농동SK아파트,127.060944646,37.5777508201,일반차로,POINT (127.060944646 37.5777508201)
105000213,6299,벽산아파트,127.030517,37.582758,일반차로,POINT (127.030517 37.582758)
105000214,6300,제기동천주교회,127.033572,37.582855,일반차로,POINT (127.033572 37.582855)
105000215,6301,이문동쌍용아파트,127.0689799868,37.5988156622,일반차로,POINT (127.0689799868 37.5988156622)
105000216,6302,이문동쌍용아파트,127.069119,37.598831,일반차로,POINT (127.069119 37.598831)
105000217,6303,이문1동주민센터,127.065257,37.597807,일반차로,POINT (127.065257 37.597807)
105000218,6304,전동초등학교.전농동SK아파트,127.061495,37.57812,일반차로,POINT (127.061495 37.57812)
105000222,6308,한국산업인력공단서울지역본부,127.07297,37.58375,일반차로,POINT (127.07297 37.58375)
105000223,6309,휘경공고휘경주공아파트,127.069252,37.584163,일반차로,POINT (127.069252 37.584163)
